Init 48 110
AddPlayer 216885935 1 83
AddPlayer 1162009127 26 38
AddPlayer 216885935 30 8
AddPlayer 216885935 14 10
AddPlayer 385615134 1798294817 55
AddPlayer 1967750937 24 12
AddPlayer 1254288645 46 30
AddPlayer 1270635732 18 88
AddPlayer 46790842 16 78
AddPlayer 241977783 44 37
AddPlayer 295119077 2 90
AddPlayer 1509791587 37 68
AddPlayer 27008245 24 105
AddPlayer 1061924763 1317694560 104
AddPlayer 1162009127 13 29
AddPlayer 1243495901 31 93
AddPlayer 0 9 26
AddPlayer 835522989 30 66
AddPlayer 1055428948 16 -1
AddPlayer 241977783 33 73
AddPlayer 37118521 21 104
AddPlayer 572459106 34 52
AddPlayer 1096233119 48 99
AddPlayer 753999375 8 23
AddPlayer 745494109 10 105
AddPlayer 1731540598 12 52
AddPlayer 986122920 8 43
AddPlayer 986122920 20 60
AddPlayer 1541540966 26 27
AddPlayer 736493383 33 46
AddPlayer 1836143144 43 49
AddPlayer 2096343680 41 29
AddPlayer 2038006328 15 2
AddPlayer 1837965992 3 90
AddPlayer 789086137 17 18
AddPlayer 666108812 22 100
AddPlayer 1731540598 44 45
AddPlayer 1781755924 3 100
AddPlayer 1900840367 45 10
AddPlayer 180244125 17 51
AddPlayer 451775087 19 76
AddPlayer 1619094268 41 55
AddPlayer 1019965122 1 51
AddPlayer 1663497573 18 89
AddPlayer 1257088457 33 50
AddPlayer 1878325919 5 70
AddPlayer 957369603 23 94
AddPlayer 300433321 34 54
MergeGroups 2 26
AddPlayer 1711947437 28 38
AddPlayer 888311532 43 40
AddPlayer 1254288645 32 92
AddPlayer 258583708 3 7
AddPlayer -2 37 3
AddPlayer 1738306825 42 70
AddPlayer 138052388 20 70
AddPlayer 594926736 19 36
AddPlayer 282519010 16 45
AddPlayer -9 8 45
AddPlayer -10 43 54
AddPlayer 1738306825 17 43
AddPlayer 740731938 19 79
AddPlayer 37118521 30 97
AddPlayer 1121333744 5 71
AddPlayer 1527140813 35 1108254955
MergeGroups 29 3
AddPlayer 1310517889 40 52
AddPlayer 674983638 24 7
AddPlayer 27008245 31 99
AddPlayer 1879090549 48 46
AddPlayer 31768171 14 25
AddPlayer 986690964 43 45
AddPlayer 219142189 46 81
AddPlayer 1019965122 9 54
AddPlayer 1112754395 35 6
AddPlayer 1243495901 30 85
AddPlayer 0 5 59
AddPlayer 1078871456 7 77
AddPlayer 1815721578 -4 91
AddPlayer 1401064006 28 41
AddPlayer 803357851 17 70
AddPlayer 153626658 15 1381342543
AddPlayer 949912537 47 108
AddPlayer 216885935 45 16
AddPlayer 1604144727 20 91
GetPercentOfPlayersWithScoreInBounds 44 6 0 0
AddPlayer 1415619656 13 48
AddPlayer 986122920 29 1
AverageHighestPlayerLevelByGroup 48 -7
AddPlayer 27122534 23 -7
AddPlayer 1879090549 28 110
AddPlayer -10 31 108
AddPlayer 473148291 40 101
AddPlayer 1866962250 25 44
IncreasePlayerIDLevel 31768171 1
AddPlayer 761887904 18 96
AddPlayer 167908756 36 15
AddPlayer 421148848 10 8
AddPlayer 1509192371 45 30
AddPlayer 79808142 32 70
AddPlayer 907122328 4 83
AddPlayer 249524546 3 36
AddPlayer 1448218001 27 76
AddPlayer 1310517889 12 26
AddPlayer 521810098 19 63
AddPlayer 2031644183 28 38
AddPlayer 1113818103 26 94
AddPlayer 919767620 1 39
AddPlayer 35222190 10 65
AddPlayer 660436991 13 98
AddPlayer 1389772292 -7 13
AddPlayer 950116770 15 649146272
AddPlayer 1223063993 9 81
AddPlayer 1367782434 10 49
AddPlayer 65485445 -3 102
AddPlayer 506633694 33 36
AddPlayer 756711946 47 79
AddPlayer 2102276416 21 102
AddPlayer -6 26 96
AddPlayer 21835620 5 53
AddPlayer -8 16 51
AddPlayer 572459106 10 5
AddPlayer 876183808 33 63
AddPlayer 682236859 30 37
AddPlayer 474822363 17 24
AddPlayer 521810098 13 41
AddPlayer 182993332 7 80
AddPlayer 1770454729 48 81
GetPercentOfPlayersWithScoreInBounds 0 45 0 0
AddPlayer 659819860 -6 73
AddPlayer 737890584 10 108
GetPercentOfPlayersWithScoreInBounds -4 67 0 0
AddPlayer 1735915536 43 11
AddPlayer 1112754395 21 9
AddPlayer 1392118922 8 77
MergeGroups 12 -10
AddPlayer 1731540598 1 38
AddPlayer 1164363572 33 64
AddPlayer 1056181018 1 18
AddPlayer 94434931 32 44
AddPlayer 258583708 26 35
AddPlayer 2015055201 41 88
AddPlayer 1020344239 2024387295 82
AddPlayer 480016578 43 55
AverageHighestPlayerLevelByGroup 0 20
AddPlayer 513317749 1 5
AddPlayer 1334757470 3 88
AddPlayer 1240156547 -5 78
AddPlayer 1878325919 36 17
AddPlayer 527030173 30 27
AddPlayer 682579782 44 37
AddPlayer 954118555 21 102
AddPlayer 649197211 13 28
AddPlayer 577237780 21 19
AddPlayer 1444581519 46 29
AddPlayer 2118584743 34 107
AddPlayer -2 14 105
AddPlayer 810031699 41 17
